[      0.00] MASTER   | INIT      | INFO    | System Clock started at 0.00
[      0.00] MASTER   | INIT      | INFO    | Generating 5000 KV pairs...
[      0.00] MASTER   | INIT      | SUCCESS | Generated 5000 KV pairs (keys: hex 4-digit, values: 1~100)
[      0.00] MASTER   | INIT      | INFO    | Listening on 0.0.0.0:9000, waiting for 4 workers...
[      1.00] MASTER   | CONNECT   | SUCCESS | Worker3 connected from 211.57.11.188:52351, P2P port 9103
[      1.00] MASTER   | CONNECT   | SUCCESS | Worker1 connected from 211.57.11.188:52349, P2P port 9101
[      1.00] MASTER   | CONNECT   | SUCCESS | Worker4 connected from 211.57.11.188:52352, P2P port 9104
[      1.00] MASTER   | CONNECT   | SUCCESS | Worker2 connected from 211.57.11.188:52350, P2P port 9102
[      1.00] MASTER   | INIT      | SUCCESS | All 4 workers connected. Starting task distribution.
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0001 (key=7483) -> Worker1 (queue~1/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0002 (key=200b) -> Worker1 (queue~2/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0003 (key=7808) -> Worker1 (queue~3/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0004 (key=61fa) -> Worker1 (queue~4/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0005 (key=8bef) -> Worker1 (queue~5/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0006 (key=62eb) -> Worker1 (queue~6/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0007 (key=39d5) -> Worker1 (queue~7/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0008 (key=f249) -> Worker1 (queue~8/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0009 (key=8591) -> Worker1 (queue~9/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0010 (key=20c7) -> Worker1 (queue~10/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0011 (key=98c3) -> Worker2 (queue~1/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0012 (key=d988) -> Worker3 (queue~1/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0013 (key=0afa) -> Worker4 (queue~1/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0014 (key=4b4d) -> Worker2 (queue~2/10)
