[      0.00] WORKER1  | INIT      | INFO    | Worker1 starting (P2P port 9101)
[      0.00] WORKER1  | INIT      | INFO    | P2P server listening on 0.0.0.0:9101
[      0.00] WORKER1  | CONNECT   | SUCCESS | Connected to Master at 13.61.180.113:9000
[      2.00] WORKER1  | CONNECT   | INFO    | Received peer list: 3 peers
[      2.00] WORKER1  | INIT      | SUCCESS | Received START signal. Beginning processing.
[      2.00] WORKER1  | RECV      | INFO    | Task 0001 received (key=7483, queue:1/10)
[      4.53] WORKER1  | PROC      | SUCCESS | Task 0001 SUCCESS (proc=2.53s, wait=0.00s)
[      4.53] WORKER1  | RECV      | INFO    | Task 0002 received (key=200b, queue:1/10)
[      4.53] WORKER1  | RECV      | INFO    | Task 0003 received (key=7808, queue:2/10)
[      4.53] WORKER1  | RECV      | INFO    | Task 0004 received (key=61fa, queue:3/10)
[      4.53] WORKER1  | RECV      | INFO    | Task 0005 received (key=8bef, queue:4/10)
[      4.53] WORKER1  | RECV      | INFO    | Task 0006 received (key=62eb, queue:5/10)
[      4.53] WORKER1  | RECV      | INFO    | Task 0007 received (key=39d5, queue:6/10)
[      4.53] WORKER1  | RECV      | INFO    | Task 0008 received (key=f249, queue:7/10)
[      4.53] WORKER1  | QUEUE     | WARN    | Queue over 70%: 8/10 (after push)
[      4.53] WORKER1  | RECV      | INFO    | Task 0009 received (key=8591, queue:8/10)
[      4.53] WORKER1  | QUEUE     | WARN    | Queue over 70%: 9/10 (after push)
[      4.53] WORKER1  | RECV      | INFO    | Task 0010 received (key=20c7, queue:9/10)
[      4.53] WORKER1  | LB        | INFO    | Expected wait 18.0s > 15.0s, querying peers...
[      5.00] WORKER1  | LB        | INFO    | P2P query from Worker2, replied queue_size=9
[      5.00] WORKER1  | LB        | INFO    | P2P query from Worker3, replied queue_size=9
[     12.42] WORKER1  | QUEUE     | WARN    | Queue over 70%: 8/10 (after p2p_out)
[     12.42] WORKER1  | LB        | INFO    | Transferring 2 task(s) to Worker4
[     13.50] WORKER1  | LB        | SUCCESS | P2P transfer done: 2 to Worker4, 0 rejected
[     16.17] WORKER1  | PROC      | SUCCESS | Task 0002 SUCCESS (proc=2.66s, wait=8.97s)
[     17.66] WORKER1  | PROC      | SUCCESS | Task 0003 SUCCESS (proc=1.49s, wait=11.64s)
[     18.76] WORKER1  | PROC      | SUCCESS | Task 0004 SUCCESS (proc=1.10s, wait=13.13s)
[     19.91] WORKER1  | PROC      | SUCCESS | Task 0005 SUCCESS (proc=1.15s, wait=14.23s)
[     22.79] WORKER1  | PROC      | SUCCESS | Task 0006 SUCCESS (proc=2.88s, wait=15.38s)
[     25.03] WORKER1  | PROC      | FAIL    | Task 0007 FAIL (proc=2.24s, wait=18.26s)
[     25.03] WORKER1  | LB        | INFO    | P2P query from Worker4, replied queue_size=1
[     27.66] WORKER1  | PROC      | SUCCESS | Task 0008 SUCCESS (proc=2.63s, wait=20.50s)
[     27.66] WORKER1  | RECV      | INFO    | Task 0042 received (key=e72a, queue:1/10)
[     29.04] WORKER1  | PROC      | SUCCESS | Task 0042 SUCCESS (proc=1.38s, wait=0.00s)
[     29.04] WORKER1  | RECV      | INFO    | Task 0048 received (key=7be0, queue:1/10)
[     29.04] WORKER1  | RECV      | INFO    | Task 0050 received (key=ab05, queue:2/10)
[     29.04] WORKER1  | RECV      | INFO    | Task 0053 received (key=fe53, queue:3/10)
[     30.30] WORKER1  | PROC      | SUCCESS | Task 0048 SUCCESS (proc=1.26s, wait=0.00s)
[     30.30] WORKER1  | RECV      | INFO    | Task 0056 received (key=f17c, queue:3/10)
[     30.30] WORKER1  | RECV      | INFO    | Task 0059 received (key=3c2d, queue:4/10)
[     30.30] WORKER1  | RECV      | INFO    | Task 0007 received (key=39d5, queue:5/10) [RETRY #1]
[     31.62] WORKER1  | RECV      | INFO    | Task 0064 received (key=3de1, queue:6/10)
[     33.49] WORKER1  | PROC      | SUCCESS | Task 0050 SUCCESS (proc=1.87s, wait=2.58s)
[     34.85] WORKER1  | PROC      | SUCCESS | Task 0053 SUCCESS (proc=1.36s, wait=4.45s)
[     36.76] WORKER1  | PROC      | SUCCESS | Task 0056 SUCCESS (proc=1.91s, wait=4.55s)
[     38.05] WORKER1  | PROC      | FAIL    | Task 0059 FAIL (proc=1.29s, wait=6.46s)
[     40.66] WORKER1  | PROC      | FAIL    | Task 0007 FAIL (proc=2.61s, wait=7.75s)
[     42.69] WORKER1  | LB        | INFO    | P2P query from Worker4, replied queue_size=1
[     44.08] WORKER1  | PROC      | SUCCESS | Task 0064 SUCCESS (proc=1.39s, wait=11.08s)
[     44.88] WORKER1  | RECV      | INFO    | Task 0077 received (key=061a, queue:1/10)
[     47.49] WORKER1  | PROC      | SUCCESS | Task 0077 SUCCESS (proc=2.61s, wait=0.00s)
[     71.20] WORKER1  | LB        | INFO    | P2P query from Worker2, replied queue_size=0
[     72.95] WORKER1  | LB        | INFO    | P2P transfer from Worker2: accepted=4 rejected=0
[     75.03] WORKER1  | PROC      | FAIL    | Task 0100 FAIL (proc=2.07s, wait=0.00s)
[     77.46] WORKER1  | PROC      | SUCCESS | Task 0098 SUCCESS (proc=2.43s, wait=2.07s)
[     78.92] WORKER1  | PROC      | SUCCESS | Task 0096 SUCCESS (proc=1.46s, wait=4.50s)
[     80.35] WORKER1  | PROC      | SUCCESS | Task 0093 SUCCESS (proc=1.43s, wait=5.96s)
[     80.35] WORKER1  | RECV      | INFO    | Task 0079 received (key=692e, queue:1/10)
[     83.21] WORKER1  | PROC      | SUCCESS | Task 0079 SUCCESS (proc=2.87s, wait=0.00s)
[     83.21] WORKER1  | RECV      | INFO    | Task 0082 received (key=1977, queue:1/10)
[     83.21] WORKER1  | RECV      | INFO    | Task 0085 received (key=1b43, queue:2/10)
[     83.21] WORKER1  | RECV      | INFO    | Task 0088 received (key=f53f, queue:3/10)
[     83.21] WORKER1  | RECV      | INFO    | Task 0059 received (key=3c2d, queue:4/10) [RETRY #1]
[     83.21] WORKER1  | RECV      | INFO    | Task 0007 received (key=39d5, queue:5/10) [RETRY #2]
[     83.21] WORKER1  | RECV      | INFO    | Task 0091 received (key=da55, queue:6/10)
[     84.48] WORKER1  | PROC      | FAIL    | Task 0082 FAIL (proc=1.27s, wait=0.00s)
[     87.40] WORKER1  | PROC      | FAIL    | Task 0085 FAIL (proc=2.92s, wait=1.27s)
[     87.40] WORKER1  | LB        | INFO    | P2P query from Worker3, replied queue_size=4
[     90.37] WORKER1  | PROC      | SUCCESS | Task 0088 SUCCESS (proc=2.97s, wait=4.19s)
[     92.54] WORKER1  | PROC      | FAIL    | Task 0059 FAIL (proc=2.17s, wait=7.16s)
[     93.83] WORKER1  | PROC      | SUCCESS | Task 0007 SUCCESS (proc=1.29s, wait=9.32s)
[     95.53] WORKER1  | PROC      | SUCCESS | Task 0091 SUCCESS (proc=1.70s, wait=10.62s)
[     95.53] WORKER1  | RECV      | INFO    | Task 0102 received (key=b1ad, queue:1/10)
[     97.77] WORKER1  | PROC      | SUCCESS | Task 0102 SUCCESS (proc=2.24s, wait=0.00s)
[     97.77] WORKER1  | RECV      | INFO    | Task 0100 received (key=e4d0, queue:1/10) [RETRY #1]
[     97.77] WORKER1  | RECV      | INFO    | Task 0109 received (key=fde0, queue:2/10)
[     97.77] WORKER1  | RECV      | INFO    | Task 0110 received (key=faeb, queue:3/10)
[     97.77] WORKER1  | RECV      | INFO    | Task 0112 received (key=7fdd, queue:4/10)
[     99.80] WORKER1  | PROC      | FAIL    | Task 0100 FAIL (proc=2.03s, wait=0.00s)
[    102.77] WORKER1  | PROC      | SUCCESS | Task 0109 SUCCESS (proc=2.97s, wait=2.03s)
[    103.96] WORKER1  | PROC      | SUCCESS | Task 0110 SUCCESS (proc=1.19s, wait=5.00s)
[    105.66] WORKER1  | PROC      | FAIL    | Task 0112 FAIL (proc=1.70s, wait=6.19s)
[    105.66] WORKER1  | RECV      | INFO    | Task 0116 received (key=47df, queue:1/10)
[    107.84] WORKER1  | PROC      | SUCCESS | Task 0116 SUCCESS (proc=2.18s, wait=0.00s)
[    107.84] WORKER1  | RECV      | INFO    | Task 0082 received (key=1977, queue:1/10) [RETRY #1]
[    107.84] WORKER1  | RECV      | INFO    | Task 0085 received (key=1b43, queue:2/10) [RETRY #1]
[    107.84] WORKER1  | RECV      | INFO    | Task 0119 received (key=214a, queue:3/10)
[    107.84] WORKER1  | RECV      | INFO    | Task 0059 received (key=3c2d, queue:4/10) [RETRY #2]
[    107.84] WORKER1  | RECV      | INFO    | Task 0121 received (key=d43e, queue:5/10)
[    107.84] WORKER1  | RECV      | INFO    | Task 0124 received (key=cdc5, queue:6/10)
[    109.47] WORKER1  | PROC      | SUCCESS | Task 0082 SUCCESS (proc=1.63s, wait=0.00s)
[    111.03] WORKER1  | PROC      | SUCCESS | Task 0085 SUCCESS (proc=1.55s, wait=1.63s)
[    112.30] WORKER1  | PROC      | SUCCESS | Task 0119 SUCCESS (proc=1.28s, wait=3.19s)
[    114.40] WORKER1  | PROC      | SUCCESS | Task 0059 SUCCESS (proc=2.10s, wait=4.46s)
[    117.32] WORKER1  | PROC      | SUCCESS | Task 0121 SUCCESS (proc=2.92s, wait=6.56s)
[    119.37] WORKER1  | PROC      | SUCCESS | Task 0124 SUCCESS (proc=2.06s, wait=9.48s)
[    119.37] WORKER1  | RECV      | INFO    | Task 0131 received (key=7146, queue:1/10)
[    121.05] WORKER1  | PROC      | SUCCESS | Task 0131 SUCCESS (proc=1.68s, wait=0.00s)
[    121.05] WORKER1  | RECV      | INFO    | Task 0100 received (key=e4d0, queue:1/10) [RETRY #2]
[    121.05] WORKER1  | RECV      | INFO    | Task 0133 received (key=49a3, queue:2/10)
[    121.05] WORKER1  | RECV      | INFO    | Task 0136 received (key=d840, queue:3/10)
[    121.05] WORKER1  | RECV      | INFO    | Task 0112 received (key=7fdd, queue:4/10) [RETRY #1]
[    123.67] WORKER1  | PROC      | FAIL    | Task 0100 FAIL (proc=2.61s, wait=0.00s)
[    125.25] WORKER1  | PROC      | SUCCESS | Task 0133 SUCCESS (proc=1.58s, wait=2.61s)
[    128.06] WORKER1  | PROC      | SUCCESS | Task 0136 SUCCESS (proc=2.81s, wait=4.19s)
[    129.25] WORKER1  | PROC      | SUCCESS | Task 0112 SUCCESS (proc=1.19s, wait=7.00s)
[    129.25] WORKER1  | RECV      | INFO    | Task 0145 received (key=4dda, queue:1/10)
[    129.25] WORKER1  | RECV      | INFO    | Task 0148 received (key=f919, queue:2/10)
[    132.02] WORKER1  | PROC      | SUCCESS | Task 0145 SUCCESS (proc=2.77s, wait=0.00s)
[    132.02] WORKER1  | RECV      | INFO    | Task 0151 received (key=296f, queue:2/10)
[    132.02] WORKER1  | RECV      | INFO    | Task 0154 received (key=55e1, queue:3/10)
[    132.02] WORKER1  | RECV      | INFO    | Task 0157 received (key=00bf, queue:4/10)
[    132.02] WORKER1  | RECV      | INFO    | Task 0160 received (key=ad4e, queue:5/10)
[    132.02] WORKER1  | RECV      | INFO    | Task 0161 received (key=3b7f, queue:6/10)
[    134.87] WORKER1  | PROC      | SUCCESS | Task 0148 SUCCESS (proc=2.85s, wait=2.77s)
[    137.76] WORKER1  | PROC      | SUCCESS | Task 0151 SUCCESS (proc=2.89s, wait=2.85s)
[    140.56] WORKER1  | PROC      | SUCCESS | Task 0154 SUCCESS (proc=2.80s, wait=5.74s)
[    143.12] WORKER1  | PROC      | SUCCESS | Task 0157 SUCCESS (proc=2.56s, wait=8.54s)
[    146.10] WORKER1  | PROC      | SUCCESS | Task 0160 SUCCESS (proc=2.98s, wait=11.10s)
[    147.86] WORKER1  | PROC      | SUCCESS | Task 0161 SUCCESS (proc=1.76s, wait=14.08s)
