[      0.00] MASTER   | INIT      | INFO    | System Clock started at 0.00
[      0.00] MASTER   | INIT      | INFO    | Generating 5000 KV pairs...
[      0.00] MASTER   | INIT      | SUCCESS | Generated 5000 KV pairs (keys: hex 4-digit, values: 1~100)
[      0.00] MASTER   | INIT      | INFO    | Listening on 0.0.0.0:9000, waiting for 4 workers...
[      1.00] MASTER   | CONNECT   | SUCCESS | Worker2 connected from 1.246.28.121:63544, P2P port 9102
[      1.00] MASTER   | CONNECT   | SUCCESS | Worker4 connected from 1.246.28.121:63542, P2P port 9104
[      1.00] MASTER   | CONNECT   | SUCCESS | Worker1 connected from 1.246.28.121:63541, P2P port 9101
[      1.00] MASTER   | CONNECT   | SUCCESS | Worker3 connected from 1.246.28.121:63543, P2P port 9103
[      1.00] MASTER   | INIT      | SUCCESS | All 4 workers connected. Starting task distribution.
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0001 (key=9458) -> Worker1 (queue~1/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0002 (key=fb74) -> Worker2 (queue~1/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0003 (key=8748) -> Worker3 (queue~1/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0004 (key=c45f) -> Worker4 (queue~1/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0005 (key=d944) -> Worker1 (queue~2/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0006 (key=e1a2) -> Worker2 (queue~2/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0007 (key=71ad) -> Worker3 (queue~2/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0008 (key=f4be) -> Worker4 (queue~2/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0009 (key=d20d) -> Worker1 (queue~3/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0010 (key=48b4) -> Worker2 (queue~3/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0011 (key=13fa) -> Worker3 (queue~3/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0012 (key=6a25) -> Worker4 (queue~3/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0013 (key=09f2) -> Worker1 (queue~4/10)
[      1.00] MASTER   | DISTRIB   | INFO    | Task 0014 (key=5b85) -> Worker2 (queue~4/10)
