[      0.00] WORKER3  | INIT      | INFO    | Worker3 starting (P2P port 9103)
[      0.00] WORKER3  | INIT      | INFO    | P2P server listening on 0.0.0.0:9103
[      0.00] WORKER3  | CONNECT   | SUCCESS | Connected to Master at 13.61.180.113:9000
[      2.00] WORKER3  | CONNECT   | INFO    | Received peer list: 3 peers
[      2.00] WORKER3  | INIT      | SUCCESS | Received START signal. Beginning processing.
[      2.00] WORKER3  | RECV      | INFO    | Task 0012 received (key=d988, queue:1/10)
[      2.00] WORKER3  | RECV      | INFO    | Task 0015 received (key=25b1, queue:2/10)
[      2.00] WORKER3  | RECV      | INFO    | Task 0018 received (key=e2bf, queue:3/10)
[      2.00] WORKER3  | RECV      | INFO    | Task 0021 received (key=db03, queue:4/10)
[      4.41] WORKER3  | PROC      | FAIL    | Task 0012 FAIL (proc=2.41s, wait=0.00s)
[      4.41] WORKER3  | RECV      | INFO    | Task 0024 received (key=842c, queue:4/10)
[      4.41] WORKER3  | RECV      | INFO    | Task 0027 received (key=862a, queue:5/10)
[      4.41] WORKER3  | RECV      | INFO    | Task 0030 received (key=0de6, queue:6/10)
[      4.41] WORKER3  | RECV      | INFO    | Task 0033 received (key=47d3, queue:7/10)
[      4.41] WORKER3  | QUEUE     | WARN    | Queue over 70%: 8/10 (after push)
[      4.41] WORKER3  | RECV      | INFO    | Task 0036 received (key=713e, queue:8/10)
[      4.41] WORKER3  | QUEUE     | WARN    | Queue over 70%: 9/10 (after push)
[      4.41] WORKER3  | RECV      | INFO    | Task 0039 received (key=3e9b, queue:9/10)
[      4.41] WORKER3  | LB        | INFO    | Expected wait 18.0s > 15.0s, querying peers...
[      5.20] WORKER3  | LB        | INFO    | P2P query from Worker2, replied queue_size=9
[      7.44] WORKER3  | QUEUE     | WARN    | Queue over 70%: 8/10 (after p2p_out)
[      7.44] WORKER3  | LB        | INFO    | Transferring 1 task(s) to Worker4
[      7.44] WORKER3  | LB        | INFO    | P2P query from Worker1, replied queue_size=8
[     15.77] WORKER3  | LB        | SUCCESS | P2P transfer done: 1 to Worker4, 0 rejected
[     17.91] WORKER3  | PROC      | SUCCESS | Task 0015 SUCCESS (proc=2.14s, wait=13.77s)
[     20.25] WORKER3  | PROC      | SUCCESS | Task 0018 SUCCESS (proc=2.33s, wait=15.91s)
[     22.71] WORKER3  | PROC      | SUCCESS | Task 0021 SUCCESS (proc=2.47s, wait=18.25s)
[     24.01] WORKER3  | PROC      | SUCCESS | Task 0024 SUCCESS (proc=1.29s, wait=18.31s)
[     25.46] WORKER3  | PROC      | SUCCESS | Task 0027 SUCCESS (proc=1.46s, wait=19.60s)
[     27.86] WORKER3  | PROC      | SUCCESS | Task 0030 SUCCESS (proc=2.40s, wait=21.06s)
[     29.62] WORKER3  | PROC      | SUCCESS | Task 0033 SUCCESS (proc=1.75s, wait=23.46s)
[     32.43] WORKER3  | PROC      | SUCCESS | Task 0036 SUCCESS (proc=2.82s, wait=25.21s)
[     32.43] WORKER3  | LB        | INFO    | P2P query from Worker4, replied queue_size=0
[     35.54] WORKER3  | PROC      | SUCCESS | Task 0035 SUCCESS (proc=2.91s, wait=0.00s)
[     35.54] WORKER3  | LB        | INFO    | P2P transfer from Worker4: accepted=4 rejected=0
[     38.18] WORKER3  | PROC      | SUCCESS | Task 0038 SUCCESS (proc=2.64s, wait=2.91s)
[     39.21] WORKER3  | PROC      | SUCCESS | Task 0039 SUCCESS (proc=1.03s, wait=5.55s)
[     40.51] WORKER3  | PROC      | FAIL    | Task 0009 FAIL (proc=1.31s, wait=6.58s)
[     40.51] WORKER3  | RECV      | INFO    | Task 0012 received (key=d988, queue:1/10) [RETRY #1]
[     42.88] WORKER3  | PROC      | SUCCESS | Task 0012 SUCCESS (proc=2.36s, wait=0.00s)
[     42.88] WORKER3  | RECV      | INFO    | Task 0047 received (key=df45, queue:1/10)
[     44.01] WORKER3  | PROC      | FAIL    | Task 0047 FAIL (proc=1.14s, wait=0.00s)
[     44.01] WORKER3  | RECV      | INFO    | Task 0049 received (key=589b, queue:1/10)
[     44.01] WORKER3  | RECV      | INFO    | Task 0051 received (key=9fce, queue:2/10)
[     44.01] WORKER3  | RECV      | INFO    | Task 0054 received (key=5b5a, queue:3/10)
[     44.01] WORKER3  | RECV      | INFO    | Task 0058 received (key=65e7, queue:4/10)
[     44.01] WORKER3  | RECV      | INFO    | Task 0061 received (key=5c66, queue:5/10)
[     44.01] WORKER3  | RECV      | INFO    | Task 0063 received (key=22c2, queue:6/10)
[     44.01] WORKER3  | RECV      | INFO    | Task 0066 received (key=eead, queue:7/10)
[     44.01] WORKER3  | QUEUE     | WARN    | Queue over 70%: 8/10 (after push)
[     44.01] WORKER3  | RECV      | INFO    | Task 0068 received (key=983c, queue:8/10)
[     45.65] WORKER3  | PROC      | SUCCESS | Task 0049 SUCCESS (proc=1.64s, wait=0.00s)
[     48.43] WORKER3  | PROC      | SUCCESS | Task 0051 SUCCESS (proc=2.78s, wait=1.64s)
[     49.58] WORKER3  | PROC      | SUCCESS | Task 0054 SUCCESS (proc=1.15s, wait=4.42s)
[     51.98] WORKER3  | PROC      | FAIL    | Task 0058 FAIL (proc=2.39s, wait=5.57s)
[     54.42] WORKER3  | PROC      | FAIL    | Task 0061 FAIL (proc=2.44s, wait=7.96s)
[     56.11] WORKER3  | PROC      | FAIL    | Task 0063 FAIL (proc=1.69s, wait=10.41s)
[     57.61] WORKER3  | PROC      | SUCCESS | Task 0066 SUCCESS (proc=1.51s, wait=12.09s)
[     60.29] WORKER3  | PROC      | SUCCESS | Task 0068 SUCCESS (proc=2.68s, wait=13.60s)
[     60.29] WORKER3  | LB        | INFO    | P2P query from Worker4, replied queue_size=0
[     60.29] WORKER3  | RECV      | INFO    | Task 0009 received (key=8591, queue:1/10) [RETRY #1]
[     60.29] WORKER3  | RECV      | INFO    | Task 0072 received (key=4960, queue:2/10)
[     61.48] WORKER3  | RECV      | INFO    | Task 0073 received (key=301f, queue:2/10)
[     61.48] WORKER3  | RECV      | INFO    | Task 0075 received (key=4fa5, queue:3/10)
[     61.48] WORKER3  | PROC      | SUCCESS | Task 0009 SUCCESS (proc=1.19s, wait=0.00s)
[     64.21] WORKER3  | PROC      | SUCCESS | Task 0072 SUCCESS (proc=2.73s, wait=1.19s)
[     67.06] WORKER3  | PROC      | SUCCESS | Task 0073 SUCCESS (proc=2.85s, wait=2.73s)
[     69.76] WORKER3  | PROC      | SUCCESS | Task 0075 SUCCESS (proc=2.70s, wait=5.58s)
[     71.40] WORKER3  | LB        | INFO    | P2P query from Worker2, replied queue_size=0
[     71.40] WORKER3  | RECV      | INFO    | Task 0047 received (key=df45, queue:1/10) [RETRY #1]
[     74.36] WORKER3  | PROC      | SUCCESS | Task 0047 SUCCESS (proc=2.96s, wait=0.00s)
[     74.36] WORKER3  | RECV      | INFO    | Task 0080 received (key=1697, queue:1/10)
[     74.36] WORKER3  | RECV      | INFO    | Task 0083 received (key=4da4, queue:2/10)
[     74.36] WORKER3  | RECV      | INFO    | Task 0087 received (key=bd99, queue:3/10)
[     74.36] WORKER3  | RECV      | INFO    | Task 0058 received (key=65e7, queue:4/10) [RETRY #1]
[     74.36] WORKER3  | RECV      | INFO    | Task 0061 received (key=5c66, queue:5/10) [RETRY #1]
[     74.36] WORKER3  | RECV      | INFO    | Task 0063 received (key=22c2, queue:6/10) [RETRY #1]
[     74.36] WORKER3  | RECV      | INFO    | Task 0092 received (key=043c, queue:7/10)
[     74.36] WORKER3  | QUEUE     | WARN    | Queue over 70%: 8/10 (after push)
[     74.36] WORKER3  | RECV      | INFO    | Task 0094 received (key=81ed, queue:8/10)
[     74.36] WORKER3  | LB        | INFO    | Expected wait 16.0s > 15.0s, querying peers...
[     87.90] WORKER3  | LB        | INFO    | Transferring 4 task(s) to Worker2
[     88.10] WORKER3  | LB        | SUCCESS | P2P transfer done: 4 to Worker2, 0 rejected
[     89.30] WORKER3  | PROC      | SUCCESS | Task 0080 SUCCESS (proc=1.20s, wait=13.75s)
[     91.89] WORKER3  | PROC      | FAIL    | Task 0083 FAIL (proc=2.59s, wait=14.94s)
[     94.78] WORKER3  | PROC      | SUCCESS | Task 0087 SUCCESS (proc=2.89s, wait=17.53s)
[     96.89] WORKER3  | PROC      | SUCCESS | Task 0058 SUCCESS (proc=2.10s, wait=20.43s)
