[      0.00] WORKER2  | INIT      | INFO    | Worker2 starting (P2P port 9102)
[      0.00] WORKER2  | INIT      | INFO    | P2P server listening on 0.0.0.0:9102
[      0.00] WORKER2  | CONNECT   | SUCCESS | Connected to Master at 13.61.180.113:9000
[      2.00] WORKER2  | CONNECT   | INFO    | Received peer list: 3 peers
[      2.00] WORKER2  | INIT      | SUCCESS | Received START signal. Beginning processing.
[      2.00] WORKER2  | RECV      | INFO    | Task 0002 received (key=2f54, queue:1/10)
[      4.81] WORKER2  | PROC      | SUCCESS | Task 0002 SUCCESS (proc=2.81s, wait=0.00s)
[      4.81] WORKER2  | RECV      | INFO    | Task 0006 received (key=42da, queue:1/10)
[      4.81] WORKER2  | RECV      | INFO    | Task 0010 received (key=05d1, queue:2/10)
[      4.81] WORKER2  | RECV      | INFO    | Task 0014 received (key=ba16, queue:3/10)
[      7.02] WORKER2  | PROC      | FAIL    | Task 0006 FAIL (proc=2.20s, wait=0.00s)
[      9.98] WORKER2  | PROC      | SUCCESS | Task 0010 SUCCESS (proc=2.96s, wait=2.20s)
[     12.85] WORKER2  | PROC      | SUCCESS | Task 0014 SUCCESS (proc=2.87s, wait=5.16s)
[     12.85] WORKER2  | RECV      | INFO    | Task 0018 received (key=6d03, queue:1/10)
[     14.88] WORKER2  | PROC      | SUCCESS | Task 0018 SUCCESS (proc=2.03s, wait=0.00s)
[     14.88] WORKER2  | RECV      | INFO    | Task 0022 received (key=a2b7, queue:1/10)
[     17.21] WORKER2  | PROC      | SUCCESS | Task 0022 SUCCESS (proc=2.34s, wait=0.00s)
[     17.21] WORKER2  | RECV      | INFO    | Task 0026 received (key=17f8, queue:1/10)
[     19.91] WORKER2  | PROC      | SUCCESS | Task 0026 SUCCESS (proc=2.69s, wait=0.00s)
[     19.91] WORKER2  | RECV      | INFO    | Task 0030 received (key=3383, queue:1/10)
[     21.75] WORKER2  | RECV      | INFO    | Task 0034 received (key=7493, queue:1/10)
[     21.75] WORKER2  | RECV      | INFO    | Task 0038 received (key=511c, queue:2/10)
[     21.75] WORKER2  | PROC      | FAIL    | Task 0030 FAIL (proc=1.85s, wait=0.00s)
[     24.35] WORKER2  | PROC      | SUCCESS | Task 0034 SUCCESS (proc=2.60s, wait=0.00s)
[     27.00] WORKER2  | PROC      | SUCCESS | Task 0038 SUCCESS (proc=2.65s, wait=2.60s)
[     27.00] WORKER2  | RECV      | INFO    | Task 0046 received (key=bbe1, queue:1/10)
[     29.74] WORKER2  | PROC      | SUCCESS | Task 0046 SUCCESS (proc=2.74s, wait=0.00s)
[     29.74] WORKER2  | RECV      | INFO    | Task 0006 received (key=42da, queue:1/10) [RETRY #1]
[     29.74] WORKER2  | RECV      | INFO    | Task 0030 received (key=3383, queue:2/10) [RETRY #1]
[     32.64] WORKER2  | PROC      | SUCCESS | Task 0006 SUCCESS (proc=2.90s, wait=0.00s)
[     34.10] WORKER2  | PROC      | SUCCESS | Task 0030 SUCCESS (proc=1.46s, wait=2.90s)
[     35.46] WORKER2  | PROC      | SUCCESS | Task 0053 SUCCESS (proc=1.36s, wait=1.46s)
[     32.64] WORKER2  | RECV      | INFO    | Task 0053 received (key=be08, queue:2/10)
[     35.46] WORKER2  | RECV      | INFO    | Task 0054 received (key=ae98, queue:1/10)
[     35.46] WORKER2  | RECV      | INFO    | Task 0055 received (key=c58c, queue:2/10)
[     35.46] WORKER2  | RECV      | INFO    | Task 0059 received (key=7732, queue:3/10)
[     35.46] WORKER2  | RECV      | INFO    | Task 0063 received (key=2a36, queue:4/10)
[     35.46] WORKER2  | RECV      | INFO    | Task 0067 received (key=ef97, queue:5/10)
[     35.46] WORKER2  | RECV      | INFO    | Task 0071 received (key=d560, queue:6/10)
[     37.69] WORKER2  | PROC      | SUCCESS | Task 0054 SUCCESS (proc=2.23s, wait=0.00s)
[     40.29] WORKER2  | PROC      | SUCCESS | Task 0055 SUCCESS (proc=2.60s, wait=2.23s)
[     40.29] WORKER2  | LB        | INFO    | Expected wait 8.0s > 6.0s, querying peers...
[     44.99] WORKER2  | LB        | INFO    | Transferring 2 task(s) to Worker1
[     45.19] WORKER2  | LB        | SUCCESS | P2P transfer done: 2 to Worker1, 0 rejected
[     47.82] WORKER2  | PROC      | SUCCESS | Task 0059 SUCCESS (proc=2.63s, wait=9.73s)
[     49.80] WORKER2  | PROC      | FAIL    | Task 0063 FAIL (proc=1.98s, wait=12.35s)
[     49.80] WORKER2  | RECV      | INFO    | Task 0074 received (key=5e9e, queue:1/10)
[     52.07] WORKER2  | PROC      | SUCCESS | Task 0074 SUCCESS (proc=2.28s, wait=0.00s)
[     52.07] WORKER2  | RECV      | INFO    | Task 0086 received (key=7b09, queue:1/10)
[     52.07] WORKER2  | RECV      | INFO    | Task 0087 received (key=c141, queue:2/10)
[     52.07] WORKER2  | RECV      | INFO    | Task 0088 received (key=9c46, queue:3/10)
[     53.16] WORKER2  | PROC      | SUCCESS | Task 0086 SUCCESS (proc=1.09s, wait=0.00s)
[     54.24] WORKER2  | PROC      | SUCCESS | Task 0087 SUCCESS (proc=1.08s, wait=1.09s)
[     53.16] WORKER2  | RECV      | INFO    | Task 0089 received (key=1153, queue:3/10)
[     56.46] WORKER2  | PROC      | FAIL    | Task 0088 FAIL (proc=2.22s, wait=2.17s)
[     57.93] WORKER2  | PROC      | SUCCESS | Task 0089 SUCCESS (proc=1.47s, wait=3.30s)
[     60.68] WORKER2  | PROC      | SUCCESS | Task 0090 SUCCESS (proc=2.75s, wait=1.47s)
[     56.46] WORKER2  | RECV      | INFO    | Task 0090 received (key=e100, queue:2/10)
[     60.68] WORKER2  | RECV      | INFO    | Task 0063 received (key=2a36, queue:1/10) [RETRY #1]
[     61.97] WORKER2  | PROC      | SUCCESS | Task 0063 SUCCESS (proc=1.30s, wait=0.00s)
[     61.97] WORKER2  | RECV      | INFO    | Task 0099 received (key=184e, queue:1/10)
[     63.06] WORKER2  | PROC      | SUCCESS | Task 0099 SUCCESS (proc=1.09s, wait=0.00s)
[     77.03] WORKER2  | LB        | INFO    | P2P query from Worker1, replied queue_size=0
[     77.63] WORKER2  | LB        | INFO    | P2P transfer from Worker1: accepted=3 rejected=0
[     80.55] WORKER2  | PROC      | FAIL    | Task 0110 FAIL (proc=2.93s, wait=0.00s)
[     82.67] WORKER2  | PROC      | SUCCESS | Task 0107 SUCCESS (proc=2.12s, wait=2.93s)
[     84.48] WORKER2  | PROC      | SUCCESS | Task 0104 SUCCESS (proc=1.81s, wait=5.04s)
[     84.48] WORKER2  | RECV      | INFO    | Task 0113 received (key=0bb2, queue:1/10)
[     85.87] WORKER2  | PROC      | SUCCESS | Task 0113 SUCCESS (proc=1.40s, wait=0.00s)
[     85.87] WORKER2  | RECV      | INFO    | Task 0088 received (key=9c46, queue:1/10) [RETRY #1]
[     85.87] WORKER2  | RECV      | INFO    | Task 0118 received (key=e20a, queue:2/10)
[     88.86] WORKER2  | PROC      | SUCCESS | Task 0088 SUCCESS (proc=2.99s, wait=0.00s)
[     88.86] WORKER2  | RECV      | INFO    | Task 0119 received (key=18eb, queue:2/10)
[     90.91] WORKER2  | PROC      | SUCCESS | Task 0118 SUCCESS (proc=2.04s, wait=2.99s)
[     93.70] WORKER2  | PROC      | SUCCESS | Task 0119 SUCCESS (proc=2.79s, wait=2.04s)
[     93.70] WORKER2  | RECV      | INFO    | Task 0120 received (key=7182, queue:1/10)
[     94.77] WORKER2  | PROC      | SUCCESS | Task 0120 SUCCESS (proc=1.07s, wait=0.00s)
